,const,density,dz,zenith,algae
656,1.0,500,0.15,60,15000
657,1.0,500,0.15,60,20000
658,1.0,500,0.15,70,0
659,1.0,500,0.15,70,5000
660,1.0,500,0.15,70,7000
661,1.0,500,0.15,70,11000
662,1.0,500,0.15,70,13000
663,1.0,500,0.15,70,15000
664,1.0,500,0.15,70,20000
665,1.0,500,0.15,80,0
666,1.0,500,0.15,80,5000
667,1.0,500,0.15,80,7000
668,1.0,500,0.15,80,11000
669,1.0,500,0.15,80,13000
670,1.0,500,0.15,80,15000
671,1.0,500,0.15,80,20000
672,1.0,600,0.15,30,0
673,1.0,600,0.15,30,5000
674,1.0,600,0.15,30,7000
675,1.0,600,0.15,30,11000
676,1.0,600,0.15,30,13000
677,1.0,600,0.15,30,15000
678,1.0,600,0.15,30,20000
679,1.0,600,0.15,40,0
680,1.0,600,0.15,40,5000
681,1.0,600,0.15,40,7000
682,1.0,600,0.15,40,11000
683,1.0,600,0.15,40,13000
684,1.0,600,0.15,40,15000
685,1.0,600,0.15,40,20000
686,1.0,600,0.15,50,0
687,1.0,600,0.15,50,5000
688,1.0,600,0.15,50,7000
689,1.0,600,0.15,50,11000
690,1.0,600,0.15,50,13000
691,1.0,600,0.15,50,15000
692,1.0,600,0.15,50,20000
693,1.0,600,0.15,60,0
694,1.0,600,0.15,60,5000
695,1.0,600,0.15,60,7000
696,1.0,600,0.15,60,11000
697,1.0,600,0.15,60,13000
698,1.0,600,0.15,60,15000
699,1.0,600,0.15,60,20000
700,1.0,600,0.15,70,0
701,1.0,600,0.15,70,5000
702,1.0,600,0.15,70,7000
703,1.0,600,0.15,70,11000
704,1.0,600,0.15,70,13000
705,1.0,600,0.15,70,15000
706,1.0,600,0.15,70,20000
707,1.0,600,0.15,80,0
708,1.0,600,0.15,80,5000
709,1.0,600,0.15,80,7000
710,1.0,600,0.15,80,11000
711,1.0,600,0.15,80,13000
712,1.0,600,0.15,80,15000
713,1.0,600,0.15,80,20000
714,1.0,700,0.15,30,0
715,1.0,700,0.15,30,5000
716,1.0,700,0.15,30,7000
717,1.0,700,0.15,30,11000
718,1.0,700,0.15,30,13000
719,1.0,700,0.15,30,15000
720,1.0,700,0.15,30,20000
721,1.0,700,0.15,40,0
722,1.0,700,0.15,40,5000
723,1.0,700,0.15,40,7000
724,1.0,700,0.15,40,11000
725,1.0,700,0.15,40,13000
726,1.0,700,0.15,40,15000
727,1.0,700,0.15,40,20000
728,1.0,700,0.15,50,0
729,1.0,700,0.15,50,5000
730,1.0,700,0.15,50,7000
731,1.0,700,0.15,50,11000
732,1.0,700,0.15,50,13000
733,1.0,700,0.15,50,15000
734,1.0,700,0.15,50,20000
735,1.0,700,0.15,60,0
736,1.0,700,0.15,60,5000
737,1.0,700,0.15,60,7000
738,1.0,700,0.15,60,11000
739,1.0,700,0.15,60,13000
740,1.0,700,0.15,60,15000
741,1.0,700,0.15,60,20000
742,1.0,700,0.15,70,0
743,1.0,700,0.15,70,5000
744,1.0,700,0.15,70,7000
745,1.0,700,0.15,70,11000
746,1.0,700,0.15,70,13000
747,1.0,700,0.15,70,15000
748,1.0,700,0.15,70,20000
749,1.0,700,0.15,80,0
750,1.0,700,0.15,80,5000
751,1.0,700,0.15,80,7000
752,1.0,700,0.15,80,11000
753,1.0,700,0.15,80,13000
754,1.0,700,0.15,80,15000
755,1.0,700,0.15,80,20000
756,1.0,800,0.15,30,0
757,1.0,800,0.15,30,5000
758,1.0,800,0.15,30,7000
759,1.0,800,0.15,30,11000
760,1.0,800,0.15,30,13000
761,1.0,800,0.15,30,15000
762,1.0,800,0.15,30,20000
763,1.0,800,0.15,40,0
764,1.0,800,0.15,40,5000
765,1.0,800,0.15,40,7000
766,1.0,800,0.15,40,11000
767,1.0,800,0.15,40,13000
768,1.0,800,0.15,40,15000
769,1.0,800,0.15,40,20000
770,1.0,800,0.15,50,0
771,1.0,800,0.15,50,5000
772,1.0,800,0.15,50,7000
773,1.0,800,0.15,50,11000
774,1.0,800,0.15,50,13000
775,1.0,800,0.15,50,15000
776,1.0,800,0.15,50,20000
777,1.0,800,0.15,60,0
778,1.0,800,0.15,60,5000
779,1.0,800,0.15,60,7000
780,1.0,800,0.15,60,11000
781,1.0,800,0.15,60,13000
782,1.0,800,0.15,60,15000
783,1.0,800,0.15,60,20000
784,1.0,800,0.15,70,0
785,1.0,800,0.15,70,5000
786,1.0,800,0.15,70,7000
787,1.0,800,0.15,70,11000
788,1.0,800,0.15,70,13000
789,1.0,800,0.15,70,15000
790,1.0,800,0.15,70,20000
791,1.0,800,0.15,80,0
792,1.0,800,0.15,80,5000
793,1.0,800,0.15,80,7000
794,1.0,800,0.15,80,11000
795,1.0,800,0.15,80,13000
796,1.0,800,0.15,80,15000
